x,y,z
0.92,0.0,0.0
0.8886517601859429,0.23811352149431908,0.0
0.7967433714816836,0.45999999999999996,0.0
0.6505382386916237,0.6505382386916236,0.0
0.46000000000000013,0.7967433714816835,0.0
0.23811352149431908,0.8886517601859429,0.0
5.633375276077825e-17,0.92,0.0
-0.238113521494319,0.8886517601859429,0.0
-0.4599999999999998,0.7967433714816836,0.0
-0.6505382386916236,0.6505382386916237,0.0
-0.7967433714816836,0.45999999999999996,0.0
-0.8886517601859428,0.23811352149431936,0.0
-0.92,1.126675055215565e-16,0.0
-0.8886517601859429,-0.23811352149431914,0.0
-0.7967433714816837,-0.45999999999999974,0.0
-0.6505382386916241,-0.6505382386916234,0.0
-0.4600000000000004,-0.7967433714816834,0.0
-0.238113521494319,-0.8886517601859429,0.0
-1.6900125828233474e-16,-0.92,0.0
0.2381135214943187,-0.8886517601859429,0.0
0.46000000000000013,-0.7967433714816835,0.0
0.6505382386916236,-0.6505382386916239,0.0
0.7967433714816834,-0.4600000000000004,0.0
0.8886517601859427,-0.23811352149431986,0.0
