i,j,k
0,6,21
1,0,21
2,1,21
3,2,21
4,3,21
5,4,21
6,5,21
7,10,22
8,11,22
9,12,22
10,13,22
11,7,22
12,8,22
13,9,22
14,16,23
15,17,23
16,18,23
17,19,23
18,20,23
19,14,23
20,15,23
1,8,0
2,10,1
3,12,2
4,7,3
5,9,4
6,11,5
0,13,6
8,15,0
10,18,1
12,14,2
7,17,3
9,20,4
11,16,5
13,19,6
15,20,0
18,16,1
14,19,2
17,15,3
20,18,4
16,14,5
19,17,6
20,13,0
16,8,1
19,10,2
15,12,3
18,7,4
14,9,5
17,11,6
11,17,7
12,15,8
13,20,9
7,18,10
8,16,11
9,14,12
10,19,13
