r_mesh,r_model
1.6668673466299357,0.9286832359795356
1.6674687328874074,0.9290182940372699
1.6684688789822022,0.9295755182900841
1.6698645884145904,0.9303531278309861
1.6716514841723056,0.931348684038856
1.6738241024303784,0.9325591427826394
1.6763760069648665,0.9339809181661399
1.6792999200938274,0.9356099554808468
1.6825878654020192,0.9374418107239821
1.6862313171432735,0.9394717338369667
1.6902213510574233,0.941694752731993
1.6945487913889563,0.9441057552024186
1.69920434914529,0.9466995659523758
1.7041787470688567,0.9494710162240774
1.7094628273970662,0.9524150038355084
1.7150476392203586,0.9555265418513427
1.720924503089122,0.9588007945782252
1.7270850514309035,0.962233100082932
1.7335212442841512,0.9658189789583128
1.74022536079782,0.9695541295873569
1.747189967852775,0.9734344106608318
1.7544078679984827,0.9774558121705833
1.7618720296376862,0.9816144165124252
1.7695755030073872,0.9859063516755443
1.7775113259761504,0.990327738758141
1.7856724239905994,0.994874636223334
1.7940515086490711,0.9995429833901969
1.8026409793550566,1.0043285456406745
1.8114328323109787,1.0092268637161168
1.8204185807639537,1.0142332092827742
1.8295891899251726,1.0193425486725962
1.8389350293744315,1.0245495163657548
1.8484458450563674,1.0298483993885477
1.8581107522037033,1.0352331333706346
1.8679182497158484,1.0406973105559727
1.8778562557098124,1.0462341996097526
1.8879121631752784,1.0518367766262267
1.8980729139356318,1.0574977663355662
1.908325088467556,1.0632096921462098
1.9186550085853296,1.0689649333546836
1.9290488495693303,1.0747557876171983
1.9394927580236008,1.080574536613149
1.9499729715912952,1.0864135127437218
1.9604759366409892,1.0922651646999797
1.9709884201575483,1.0981221198020625
1.981497612320466,1.103977241149974
1.9919912166180669,1.1098236778300659
2.0024575248122485,1.11565490668111
2.012885474617183,1.1214647644295734
2.023264688566476,1.1272474693441796
2.033585493195008,1.1329976319229331
2.0438389183320433,1.1387102544992813
2.0540166769688684,1.1443807200255125
2.0641111268057215,1.150004770648902
2.074115215178695,1.15557847702813
2.0840224095988735,1.1610981996336582
2.09382661658681,1.166560543526937
2.103522091841587,1.1719623083117414
2.11310334503451,1.1773004350906555
2.1225650426554106,1.1825719523365859
2.1319019123610765,1.1877739226011712
2.141108652180433,1.1929033919290983
2.1501798477238845,1.1979573437318785
2.159109900232502,1.2029326587009654
2.1678929678977026,1.2078260821144344
2.176522922398534,1.2126341996220402
