rho_tempered,coeff_face,w,r_bary
0.966940063740424,0.02391513286953096,0.7404276429664495,1.6668673466299357
0.9667992195519771,0.023952544333202933,0.7407577441164963,1.6674687328874074
0.9665643936167823,0.024014693609450813,0.7413061200833894,1.6684688789822022
0.9662354574550955,0.024101280090632348,0.7420701184467559,1.6698645884145904
0.9658122309879817,0.024211891034056084,0.7430460973593183,1.6716514841723056
0.9652944820920477,0.024346009290247092,0.7442294937374742,1.6738241024303784
0.9646819257394601,0.024503022717776178,0.7456149063333191,1.6763760069648665
0.9639742225927425,0.024682234928907632,0.7471961905491848,1.6792999200938274
0.9631709769768675,0.024882876968054718,0.7489665614828356,1.6825878654020192
0.9622717342375083,0.025104119501498955,0.7509187014838141,1.6862313171432735
0.9612759776081553,0.025345085092726184,0.7530448684652309,1.6902213510574233
0.9601831248408809,0.02560486015273452,0.7553370013476574,1.6945487913889563
0.9589925249941028,0.025882506187501132,0.7577868193014804,1.69920434914529
0.95770345590263,0.026177070013337883,0.7603859118823929,1.7041787470688567
0.9563151229673815,0.026487592672309608,0.7631258176968493,1.7094628273970662
0.954826659982226,0.02681311685092517,0.7659980898611043,1.7150476392203586
0.9532371327533449,0.027152692682307786,0.7689943471968332,1.720924503089122
0.9515455462551421,0.027505381891263538,0.7721063108052664,1.7270850514309035
0.9497508560021767,0.027870260319401777,0.7753258263476626,1.7335212442841512
0.947851984198661,0.0282464189402434,0.7786448730021475,1.74022536079782
0.945847841059071,0.0286329635389608,0.7820555606378893,1.747189967852775
0.9437373514819622,0.02902901328536545,0.7855501172238126,1.7544078679984827
0.9415194870136312,0.029433698469882086,0.7891208688519006,1.7618720296376862
0.9391933027705246,0.029846157699029034,0.7927602149914325,1.7695755030073872
0.9367579787126536,0.030265534858521712,0.7964606016928385,1.7775113259761504
0.9342128643890617,0.030690976148389455,0.8002144954269657,1.7856724239905994
0.9315575260252706,0.0311216274759839,0.8040143600822107,1.7940515086490711
0.9287917946058443,0.03155663246069372,0.807852639359062,1.8026409793550566
0.9259158134359161,0.03199513126042057,0.8117217464154755,1.8114328323109787
0.9229300835551539,0.03243626037683832,0.8156140621485732,1.8204185807639537
0.9198355053351787,0.03287915353702159,0.8195219429737197,1.8295891899251726
0.9166334146228908,0.03332294368637515,0.8234377384091923,1.8389350293744315
0.9133256118999997,0.033766766065242496,0.8273538182227277,1.8484458450563674
0.9099143831118885,0.03420976228239547,0.8312626083740775,1.8581107522037033
0.9064025110713758,0.03465108524583567,0.8351566345220792,1.8679182497158484
0.9027932766555722,0.03508990476756892,0.8390285714785491,1.8778562557098124
0.8990904493738956,0.03552541362625151,0.842871296702219,1.8879121631752784
0.8952982672763802,0.035956833851142705,0.8466779457453767,1.8980729139356318
0.8914214065755524,0.036383422983146674,0.8504419674983529,1.908325088467556
0.8874649417530587,0.03680448007361727,0.8541571771201523,1.9186550085853296
0.8834342972946921,0.037219351198031006,0.8578178046885088,1.9290488495693303
0.8793351925263744,0.037627434287991174,0.861418537835216,1.9394927580236008
0.8751735812932899,0.03802818311921932,0.864954556934288,1.9499729715912952
0.8709555884220489,0.038421110332848646,0.8684215617604291,1.9604759366409892
0.8666874450227574,0.03880578940997771,0.8718157889115679,1.9709884201575483
0.8623754247195988,0.039181855562669766,0.8751340196706154,1.981497612320466
0.8580257828447408,0.03954900554621608,0.8783735783489652,1.9919912166180669
0.853644700494909,0.039906996435680596,0.8815323214912992,2.0024575248122485
0.84923823514036,0.040255643443086395,0.884608618615468,2.012885474617183
0.8448122792028274,0.04059481687910717,0.8876013254038866,2.023264688566476
0.8403725276953009,0.040924438384243166,0.8905097504492042,2.033585493195008
0.8359244556567441,0.041244476569038395,0.8933336167856327,2.0438389183320433
0.8314733057344784,0.041554942211113596,0.8960730195098257,2.0540166769688684
0.8270240858814325,0.04185588315908627,0.8987283808154669,2.0641111268057215
0.8225815767597545,0.042147379090450215,0.9013004037392665,2.074115215178695
0.8181503480903516,0.04242953626292544,0.903790025849342,2.0840224095988735
0.8137347828721617,0.04270248238745742,0.9061983740069771,2.09382661658681
0.8093391081260188,0.04296636173673641,0.9085267212064976,2.103522091841587
0.804967430604346,0.04322133058659593,0.9107764463523168,2.11310334503451
0.8006237757559578,0.0434675530696584,0.9129489976734564,2.1225650426554106
0.79631212814887,0.04370519750180165,0.9150458603100144,2.1319019123610765
0.7920364715348944,0.04393443322303175,0.9170685284385153,2.141108652180433
0.7878008267871637,0.04415542797573047,0.9190184821387981,2.1501798477238845
0.7836092860526133,0.0443683458255001,0.9208971690485301,2.159109900232502
0.7794660416308484,0.04457334561340097,0.922705990706479,2.1678929678977026
0.7753754083116422,0.04477057991366165,0.924446293355838,2.176522922398534
0.7713418381670395,0.044960194458254985,0.9261193628669556,2.184993322058553
0.7673699270905878,0.04514232797932952,0.927726423347025,2.193297402437176
0.7634644126946689,0.045317112412528816,0.9292686389340776,2.2014280845616394
0.759630163505589,0.045484673398799455,0.9307471182247009,2.2093780003967725
0.7558721597232124,0.04564513101936538,0.9321629207591061,2.217139534561469
0.7521954661258656,0.04579860069802209,0.9335170649825477,2.2247048807531
0.7486051979909543,0.04594519420658444,0.9348105371169214,2.2320661108523976
0.7451064811572558,0.046085020712934945,0.9360443004082494,2.239215254267359
0.7417044075674404,0.04621818781633983,0.9372193042618219,2.2461443847485896
0.738403987792027,0.04634480252116007,0.9383364928337652,2.2528457116798477
0.7352101021434683,0.046464972107408305,0.939396812712426,2.259311672722656
0.7321274520381916,0.046578804864414514,0.9404012193918926,2.2655350246752795
