K_face_raw,K_face
-16.019343090132228,-1.3617396598664129
-16.01156261680101,-1.3610782732509918
-15.99861694744652,-1.3599778141819563
-15.98053821918876,-1.3584410145060881
-15.957370359238642,-1.3564716082981805
-15.929168065156361,-1.3540742451769228
-15.89599555626918,-1.3512543841679672
-15.857925140064099,-1.3480181718387605
-15.815035643831772,-1.3443723089789263
-15.767410766517045,-1.3403239104977376
-15.715137408462883,-1.3358803634423906
-15.658304037420887,-1.3310491880991606
-15.596999147819792,-1.3258379070220379
-15.531309866880223,-1.3202539265441728
-15.461320755862609,-1.3143044348768032
-15.387112847720179,-1.3079963203040204
-15.308762953952051,-1.301336112261151
-15.226343263809879,-1.2943299472649328
-15.139921248549028,-1.2869835607742923
-15.049559872501286,-1.2793023051327854
-14.955318101767489,-1.2712911928105017
-14.857251690674318,-1.2629549632575812
-14.755414216187138,-1.2542981708354717
-14.649858321572724,-1.2453252905356753
-14.540637123077342,-1.23604083755577
-14.42780572749361,-1.2264494963016404
-14.31142280444281,-1.216556254040846
-14.191552155141096,-1.2063665342571035
-14.068264219421632,-1.1958863247561489
-13.941637464849556,-1.1851222957487932
-13.811759605820699,-1.17408190348158
-13.678728606433726,-1.1627734754868955
-13.542653428460582,-1.1512062741649167
-13.403654494645226,-1.139390536166764
-13.261863847519566,-1.1273374858948044
-13.117424994586754,-1.1150593223423064
-12.970492441706867,-1.102569179428443
-12.821230927441103,-1.0898810609129834
-12.669814381579524,-1.0770097518649422
-12.516424640725212,-1.0639707094795767
-12.361249962291698,-1.0507799367593085
-12.204483385290981,-1.0374538431709341
-12.046320991598089,-1.0240090968427475
-11.88696012478658,-1.0104624731549388
-11.726597625017808,-0.9968307046946596
-11.565428137786153,-0.9831303374892859
-11.403642551596828,-0.9693775981997174
-11.24142661497955,-0.9555882765582955
-11.078959776786517,-0.9417776267872175
-10.916414285714287,-0.9279602910525292
-10.753954575712822,-0.9141502472202283
-10.591736953727274,-0.9003607823124563
-10.42990959542362,-0.8866044921441509
-10.26861284355958,-0.8728933066863531
-10.107979792866843,-0.8592385397846831
-9.948137135093472,-0.8456509609929826
-9.789206228576717,-0.8321408864933797
-9.631304348707687,-0.8187182853932403
-9.474546069191916,-0.8053928971405508
-9.319044719335448,-0.7921743554019228
-9.164913859857837,-0.7790723135154957
-9.012268719050649,-0.7660965665729708
-8.861227532485778,-0.7532571653028048
-8.711912732882833,-0.7405645172160313
-8.564451942051196,-0.7280294709272482
-8.418978723837675,-0.7156633801596575
-8.275633065492457,-0.7034781446640406
-8.1345615645082,-0.6914862261011951
-7.995917308452746,-0.6797006378269992
-7.859859446231521,-0.668134908447159
