bx,by,bz
-1.666831146544756,0.009423227723438394,0.005646498799110775
-1.6673244238572427,0.01883715585879397,0.011242878875143428
-1.6681460117989735,0.028232493995554303,0.016739466362353735
-1.6692950995618407,0.03759997006929121,0.02208747316108069
-1.670770553134954,0.04693033951206924,0.027239429984372756
-1.6725709164237703,0.0562143943757173,0.03214960769873977
-1.6746944126870842,0.06544297241896276,0.036774423219178586
-1.6771389462904562,0.07460696614945647,0.041072826355721355
-1.679902104774352,0.08369733181176874,0.04500666417782756
-1.6829811612349488,0.09270509831248425,0.04854101966249683
-1.686373077015258,0.10162137607358734,0.051644521620236555
-1.6900745047039163,0.11043736580540342,0.05428962314796113
-1.6940817914386728,0.1191443671904341,0.056452846137253536
-1.698390982511327,0.12773378746952177,0.05811498966771785
-1.702997825270544,0.13619714992186402,0.05926130043570827
-1.707897773318712,0.1445261022305145,0.059881603705696285
-1.7130859909986853,0.15271242472511137,0.05997039362194389
-1.718557358165995,0.16074803849369887,0.05952688207886866
-1.7243064752418125,0.16862501335563915,0.058555005716324854
-1.7303276685416842,0.17633557568774194,0.05706339097770921
-1.7366149958747699,0.18387211609589285,0.055065277541038876
-1.74316225240807,0.19122719692460688,0.052578400802631826
-1.7499629767898466,0.19839355959709548,0.049624834456473775
-1.757010457526196,0.20536413177860655,0.04623079456654735
-1.764297739604484,0.2121320343559643,0.042426406871192875
-1.771817631357104,0.21869058822642348,0.03824543938492137
-1.7795627115587827,0.22503332088913794,0.0337250026711278
-1.7875253367504367,0.23115397283273675,0.028905220446102955
-1.795697648782341,0.23704650371270708,0.023828873438086862
-1.8040715825691755,0.2427050983124843,0.01854101966249683
-1.8126388740492898,0.2481241722823687,0.013088594483792494
-1.8213910683403345,0.2532983776506045,0.007519994013858379
-1.8303195280832094,0.25822260810118297,0.0018846455446876985
-1.8394154419660946,0.2628920040131591,-0.003767431171758742
-1.848669833420151,0.2673019572565103,-0.00938606790241392
-1.858073569478309,0.2714481157398058,-0.014921393229891276
-1.8676173697884062,0.2753263877051943,-0.02032427521471741
-1.877291815771774,0.27893294576647537,-0.02554675749390431
-1.887087359918236,0.28226423068626766,-0.030542484945022267
-1.896994335208351,0.28531695488854614,-0.035267115137548384
-1.9070029646535902,0.288088105703083,-0.03967871191941913
-1.917103370945048,0.2905749483385893,-0.04373811764528468
-1.9272855862011522,0.29277502858162424,-0.047409300742541356
-1.9375395618047584,0.29468617521860657,-0.050659675530120934
-1.9478551783199232,0.2963065021785413,-0.053460391451302054
-1.9582222554785655,0.2976344103943433,-0.05578658915329513
-1.9686305622271618,0.29866858938092394,-0.05761762114061656
-1.9790698268235623,0.2994080185284815,-0.05893723504372129
-1.9895297469739575,0.29985196810971954,-0.05973371787618478
-2.0,0.3,-0.05999999999999998
-2.0104702530260425,0.2998519681097195,-0.05973371787618478
-2.0209301731764375,0.2994080185284815,-0.05893723504372134
-2.031369437772838,0.29866858938092394,-0.0576176211406166
-2.041777744521435,0.2976344103943433,-0.05578658915329509
-2.052144821680077,0.29630650217854126,-0.05346039145130201
-2.0624604381952416,0.2946861752186067,-0.0506596755301209
-2.0727144137988476,0.29277502858162424,-0.04740930074254149
-2.0828966290549515,0.2905749483385894,-0.043738117645284756
-2.09299703534641,0.28808810570308296,-0.03967871191941911
-2.1030056647916493,0.2853169548885461,-0.035267115137548315
-2.1129126400817637,0.28226423068626755,-0.030542484945022152
-2.1227081842282263,0.2789329457664754,-0.0255467574939043
-2.1323826302115934,0.27532638770519435,-0.02032427521471757
-2.141926430521691,0.2714481157398058,-0.014921393229891248
-2.1513301665798488,0.26730195725651035,-0.009386067902413897
-2.160584558033905,0.2628920040131591,-0.003767431171758933
-2.16968047191679,0.2582226081011832,0.0018846455446875881
-2.178608931659665,0.25329837765060453,0.007519994013858219
-2.18736112595071,0.24812417228236858,0.013088594483792591
-2.195928417430824,0.24270509831248424,0.01854101966249686
-2.2043023512176587,0.23704650371270722,0.023828873438086817
-2.212474663249563,0.23115397283273686,0.028905220446102862
-2.2204372884412176,0.22503332088913797,0.033725002671127886
-2.228182368642896,0.21869058822642348,0.03824543938492136
-2.235702260395516,0.21213203435596426,0.0424264068711929
-2.2429895424738038,0.2053641317786067,0.046230794566547335
-2.250037023210153,0.19839355959709568,0.04962483445647365
-2.2568377475919297,0.1912271969246069,0.052578400802631736
-2.26338500412523,0.18387211609589293,0.05506527754103887
